ID,Nome,Matricula,Turma,Curso,Semestre,Age,GPA,Attendance_Rate,Study_Hours_per_Day,Travel_Time_Minutes,Stress_Index,Gender_Male,Dropout,Nivel_Risco,Probabilidade_Risco,Recomendacoes,Data_Referencia
435,João Nascimento Oliveira,202456912,5A,Enfermagem,2024.2,26,5.02,97.2,2.59,28.6,4,1,0,BAIXO,20,Reforco escolar e acompanhamento pedagogico,2024-03-06
436,Maria Teixeira Barbosa,202457197,3A,Pedagogia,2024.1,22,8.16,61.0,4.35,32.9,4,0,0,BAIXO,20,Contato com responsavel e monitoramento de frequencia,2024-05-28
437,Ana Lima Batista,202457211,2B,Informática,2024.2,31,2.78,87.5,3.23,39.1,5,0,1,MEDIO,65,Reforco escolar e acompanhamento pedagogico,2024-01-03
438,Fernanda Almeida Mendes,202457241,3A,Redes de Computadores,2024.2,24,7.4,79.1,5.26,66.3,5,0,0,BAIXO,20,Manter acompanhamento preventivo,2025-03-22
439,Mateus Nascimento Souza,202457301,3A,Agropecuária,2024.2,19,5.08,88.9,0.95,71.0,8,1,1,MEDIO,65,Reforco escolar e acompanhamento pedagogico | Encaminhamento para apoio psicologico ou psicossocial | Orientacao para rotina de estudos,2026-12-29
440,Isabela Araújo Costa,202457571,3A,Agropecuária,2024.1,20,5.65,87.6,0.95,33.7,8,0,1,MEDIO,65,Reforco escolar e acompanhamento pedagogico | Encaminhamento para apoio psicologico ou psicossocial | Orientacao para rotina de estudos,2026-07-03
441,Leonardo Ferreira Lima,202457638,2A,Administração,2024.2,23,6.98,45.1,1.63,51.4,7,1,1,ALTO,90,Contato com responsavel e monitoramento de frequencia | Encaminhamento para apoio psicologico ou psicossocial | Orientacao para rotina de estudos,2025-07-18
442,Gabriela Souza Ribeiro,202457694,5B,Contabilidade,2024.1,18,10.0,82.2,0.61,32.9,6,0,0,BAIXO,20,Orientacao para rotina de estudos,2025-01-01
443,Camila Oliveira Pereira,202457737,1B,Redes de Computadores,2024.2,26,6.45,85.3,2.91,9.0,5,0,0,BAIXO,20,Manter acompanhamento preventivo,2026-09-17
444,Bruno Silva Pereira,202458033,1B,Agropecuária,2024.2,19,5.35,100.0,0.73,46.0,7,1,1,MEDIO,65,Reforco escolar e acompanhamento pedagogico | Encaminhamento para apoio psicologico ou psicossocial | Orientacao para rotina de estudos,2026-11-01
445,Vinicius Costa Gomes,202458062,2B,Administração,2024.2,20,9.32,72.2,3.15,23.1,1,1,0,BAIXO,20,Contato com responsavel e monitoramento de frequencia,2026-12-10
446,Gabriela Almeida Santos,202458252,5A,Informática,2024.1,27,5.01,100.0,3.04,25.0,8,0,1,MEDIO,65,Reforco escolar e acompanhamento pedagogico | Encaminhamento para apoio psicologico ou psicossocial,2024-02-16
447,Henrique Barbosa Araújo,202458467,2B,Enfermagem,2024.2,34,8.08,91.7,5.95,74.8,7,1,0,BAIXO,20,Encaminhamento para apoio psicologico ou psicossocial,2025-01-05
448,Gabriel Rodrigues Rodrigues,202458599,2A,Logística,2024.2,27,8.64,100.0,7.84,38.7,8,1,0,BAIXO,20,Encaminhamento para apoio psicologico ou psicossocial,2025-11-20
449,Camila Silva Souza,202458660,4A,Redes de Computadores,2024.2,29,10.0,74.0,2.19,22.3,8,0,1,MEDIO,65,Contato com responsavel e monitoramento de frequencia | Encaminhamento para apoio psicologico ou psicossocial,2026-05-30
450,Rafael Pereira Souza,202458867,1B,Contabilidade,2024.2,25,6.88,82.6,3.17,11.8,6,1,0,BAIXO,20,Manter acompanhamento preventivo,2026-09-19
451,Larissa Nascimento Oliveira,202458873,4A,Edificações,2024.2,25,2.33,74.6,3.8,37.6,3,0,1,ALTO,90,Reforco escolar e acompanhamento pedagogico | Contato com responsavel e monitoramento de frequencia,2024-05-03
452,Lucas Gomes Lima,202458906,5A,Contabilidade,2024.1,30,8.18,82.1,4.49,34.1,3,1,0,BAIXO,20,Manter acompanhamento preventivo,2025-11-19
453,Rafael Mendes Barbosa,202459260,4B,Redes de Computadores,2024.2,25,7.32,77.3,3.49,64.7,7,1,0,BAIXO,20,Encaminhamento para apoio psicologico ou psicossocial,2025-03-02
454,Mateus Monteiro Ferreira,202459278,5A,Redes de Computadores,2024.2,34,6.33,67.6,3.95,22.9,7,1,1,MEDIO,65,Contato com responsavel e monitoramento de frequencia | Encaminhamento para apoio psicologico ou psicossocial,2024-07-15
455,Vinicius Pereira Mendes,202459350,1A,Redes de Computadores,2024.2,16,5.57,78.1,4.31,20.2,3,1,1,MEDIO,65,Reforco escolar e acompanhamento pedagogico,2024-02-05
456,Eduarda Almeida Mendes,202459434,1B,Contabilidade,2024.1,25,7.97,57.2,0.0,43.1,3,0,1,MEDIO,65,Contato com responsavel e monitoramento de frequencia | Orientacao para rotina de estudos,2024-07-03
457,Patrícia Gomes Nascimento,202459440,5A,Enfermagem,2024.1,21,5.79,80.9,3.29,29.2,4,0,1,MEDIO,65,Reforco escolar e acompanhamento pedagogico,2026-05-27
458,Juliana Araújo Silva,202459509,3A,Administração,2024.1,21,6.37,59.6,5.99,15.8,3,0,1,MEDIO,65,Contato com responsavel e monitoramento de frequencia,2025-07-20
459,Daniel Barbosa Batista,202459573,3B,Pedagogia,2024.1,34,5.07,95.3,1.66,52.6,4,1,0,BAIXO,20,Reforco escolar e acompanhamento pedagogico | Orientacao para rotina de estudos,2026-05-11
460,Gabriel Costa Teixeira,202459720,1A,Pedagogia,2024.1,19,3.86,71.1,1.36,26.4,3,1,1,ALTO,90,Reforco escolar e acompanhamento pedagogico | Contato com responsavel e monitoramento de frequencia | Orientacao para rotina de estudos,2024-08-29
461,Luana Almeida Monteiro,202459785,2A,Contabilidade,2024.1,18,2.4,67.7,4.17,33.5,6,0,1,ALTO,90,Reforco escolar e acompanhamento pedagogico | Contato com responsavel e monitoramento de frequencia,2025-03-24
462,Henrique Teixeira Pereira,202460326,5B,Administração,2024.2,24,5.79,79.9,1.73,17.7,6,1,1,MEDIO,65,Reforco escolar e acompanhamento pedagogico | Orientacao para rotina de estudos,2026-06-07
463,Natália Araújo Lima,202460377,3A,Eletrotécnica,2024.2,18,6.38,85.5,1.83,46.8,8,0,0,BAIXO,20,Encaminhamento para apoio psicologico ou psicossocial | Orientacao para rotina de estudos,2025-09-10
464,Larissa Barbosa Cardoso,202460379,1A,Agropecuária,2024.2,27,5.36,70.4,4.72,38.3,7,0,1,ALTO,90,Reforco escolar e acompanhamento pedagogico | Contato com responsavel e monitoramento de frequencia | Encaminhamento para apoio psicologico ou psicossocial,2024-02-03
465,Daniel Almeida Ribeiro,202460562,4A,Pedagogia,2024.2,27,8.07,82.3,2.17,35.9,6,1,0,BAIXO,20,Manter acompanhamento preventivo,2024-09-28
466,Maria Monteiro Barbosa,202460577,4A,Edificações,2024.1,17,7.87,61.0,4.27,20.0,5,0,0,BAIXO,20,Contato com responsavel e monitoramento de frequencia,2025-08-02
467,Lucas Araújo Rodrigues,202460631,1B,Contabilidade,2024.1,28,2.81,88.8,3.72,51.5,5,1,1,MEDIO,65,Reforco escolar e acompanhamento pedagogico,2026-07-22
468,Aline Santos Ribeiro,202460636,3A,Eletrotécnica,2024.2,18,10.0,69.8,3.35,38.8,7,0,1,MEDIO,65,Contato com responsavel e monitoramento de frequencia | Encaminhamento para apoio psicologico ou psicossocial,2025-04-09
469,Vitória Batista Santos,202460639,3A,Pedagogia,2024.1,27,5.57,87.5,3.49,42.7,4,0,0,BAIXO,20,Reforco escolar e acompanhamento pedagogico,2025-07-26
470,Vinicius Mendes Gomes,202460741,4B,Pedagogia,2024.1,16,9.31,77.6,2.46,64.4,7,1,0,BAIXO,20,Encaminhamento para apoio psicologico ou psicossocial,2024-09-13
471,Beatriz Lima Costa,202460752,5B,Edificações,2024.1,32,5.14,99.9,1.14,53.0,7,0,1,MEDIO,65,Reforco escolar e acompanhamento pedagogico | Encaminhamento para apoio psicologico ou psicossocial | Orientacao para rotina de estudos,2026-04-29
472,Paulo Teixeira Nascimento,202460804,5A,Edificações,2024.1,31,7.1,96.0,1.03,11.1,6,1,0,BAIXO,20,Orientacao para rotina de estudos,2024-11-10
473,Felipe Monteiro Mendes,202460806,5A,Contabilidade,2024.2,20,6.13,81.3,1.84,57.8,1,1,0,BAIXO,20,Orientacao para rotina de estudos,2025-04-03
474,Gabriela Almeida Lima,202460886,5A,Agropecuária,2024.2,21,4.5,69.9,2.04,60.4,4,0,1,MEDIO,65,Reforco escolar e acompanhamento pedagogico | Contato com responsavel e monitoramento de frequencia,2024-07-22
475,Larissa Costa Rodrigues,202460896,3B,Edificações,2024.2,32,5.72,80.1,5.18,35.3,4,0,1,MEDIO,65,Reforco escolar e acompanhamento pedagogico,2026-05-10
476,Rafaela Lima Pereira,202461269,2A,Redes de Computadores,2024.1,17,4.21,96.6,3.11,29.9,10,0,1,MEDIO,65,Reforco escolar e acompanhamento pedagogico | Encaminhamento para apoio psicologico ou psicossocial,2025-07-07
477,Marcos Silva Nascimento,202461496,1B,Logística,2024.1,22,8.09,70.7,2.82,56.0,8,1,1,MEDIO,65,Contato com responsavel e monitoramento de frequencia | Encaminhamento para apoio psicologico ou psicossocial,2026-05-13
478,Vinicius Almeida Costa,202461534,5A,Administração,2024.1,20,3.5,82.0,3.23,45.5,5,1,1,MEDIO,65,Reforco escolar e acompanhamento pedagogico,2025-05-17
479,Vinicius Pereira Ferreira,202461645,5A,Contabilidade,2024.1,20,9.0,73.7,3.57,34.4,5,1,0,BAIXO,20,Contato com responsavel e monitoramento de frequencia,2024-06-20
480,Pedro Cardoso Lima,202461921,3B,Administração,2024.2,22,6.53,76.0,3.17,30.5,8,1,1,MEDIO,65,Encaminhamento para apoio psicologico ou psicossocial,2024-07-14
481,Ana Costa Barbosa,202462127,5B,Agropecuária,2024.1,33,9.34,70.8,2.83,51.6,7,0,1,MEDIO,65,Contato com responsavel e monitoramento de frequencia | Encaminhamento para apoio psicologico ou psicossocial,2025-06-16
482,Rafael Souza Rodrigues,202462166,1B,Contabilidade,2024.2,23,5.63,76.1,0.96,42.3,6,1,1,MEDIO,65,Reforco escolar e acompanhamento pedagogico | Orientacao para rotina de estudos,2026-10-09
483,Leonardo Batista Oliveira,202462285,3A,Edificações,2024.1,23,8.93,67.6,2.34,45.7,8,1,1,MEDIO,65,Contato com responsavel e monitoramento de frequencia | Encaminhamento para apoio psicologico ou psicossocial,2024-06-22
484,Jéssica Costa Cardoso,202462288,3A,Agropecuária,2024.1,24,5.03,85.6,1.55,30.7,3,0,0,BAIXO,20,Reforco escolar e acompanhamento pedagogico | Orientacao para rotina de estudos,2024-06-04
485,Aline Teixeira Cardoso,202462598,4A,Agropecuária,2024.2,18,5.44,59.3,1.24,39.3,4,0,1,MEDIO,65,Reforco escolar e acompanhamento pedagogico | Contato com responsavel e monitoramento de frequencia | Orientacao para rotina de estudos,2026-03-28
486,Lucas Ferreira Nascimento,202462673,5A,Pedagogia,2024.2,33,3.28,83.2,3.25,32.1,5,1,1,MEDIO,65,Reforco escolar e acompanhamento pedagogico,2025-03-28
487,Eduarda Nascimento Ribeiro,202463022,4B,Eletrotécnica,2024.2,26,4.12,100.0,1.15,42.0,2,0,0,BAIXO,20,Reforco escolar e acompanhamento pedagogico | Orientacao para rotina de estudos,2024-02-06
488,Jéssica Gomes Monteiro,202463127,5A,Administração,2024.2,26,5.95,68.1,3.57,70.4,3,0,1,MEDIO,65,Reforco escolar e acompanhamento pedagogico | Contato com responsavel e monitoramento de frequencia,2026-03-17
489,Henrique Araújo Santos,202463363,3A,Informática,2024.2,34,10.0,88.1,0.87,27.8,8,1,0,BAIXO,20,Encaminhamento para apoio psicologico ou psicossocial | Orientacao para rotina de estudos,2026-10-27
490,Beatriz Oliveira Ferreira,202463480,4A,Eletrotécnica,2024.1,16,9.08,68.2,3.98,62.3,6,0,0,BAIXO,20,Contato com responsavel e monitoramento de frequencia,2025-12-03
491,Maria Souza Batista,202463748,5B,Administração,2024.1,25,4.59,81.2,0.49,33.8,5,0,1,MEDIO,65,Reforco escolar e acompanhamento pedagogico | Orientacao para rotina de estudos,2024-06-01
492,Vitória Nascimento Lima,202463787,2B,Administração,2024.2,23,7.05,91.0,2.04,46.7,6,0,0,BAIXO,20,Manter acompanhamento preventivo,2024-01-26
493,Rafaela Silva Pereira,202463815,3A,Edificações,2024.1,34,8.13,49.9,1.32,44.1,2,0,1,MEDIO,65,Contato com responsavel e monitoramento de frequencia | Orientacao para rotina de estudos,2026-05-11
494,Thiago Monteiro Nascimento,202463840,2A,Redes de Computadores,2024.2,31,7.93,100.0,1.99,42.3,7,1,0,BAIXO,20,Encaminhamento para apoio psicologico ou psicossocial | Orientacao para rotina de estudos,2025-01-07
495,Paulo Teixeira Nascimento,202463843,3B,Eletrotécnica,2024.2,22,8.42,65.2,1.55,18.1,2,1,0,BAIXO,20,Contato com responsavel e monitoramento de frequencia | Orientacao para rotina de estudos,2024-07-23
496,Felipe Oliveira Rodrigues,202463880,1A,Enfermagem,2024.1,17,6.78,100.0,2.24,45.2,9,1,1,MEDIO,65,Encaminhamento para apoio psicologico ou psicossocial,2026-08-21
497,Beatriz Rodrigues Teixeira,202464000,4B,Eletrotécnica,2024.2,31,5.33,75.7,1.24,11.6,7,0,1,MEDIO,65,Reforco escolar e acompanhamento pedagogico | Encaminhamento para apoio psicologico ou psicossocial | Orientacao para rotina de estudos,2025-04-13
498,Patrícia Araújo Santos,202464358,3B,Informática,2024.1,25,10.0,83.9,3.31,16.0,2,0,0,BAIXO,20,Manter acompanhamento preventivo,2025-12-23
499,Thiago Mendes Ferreira,202464401,5B,Eletrotécnica,2024.2,25,5.37,91.1,4.8,30.5,7,1,1,MEDIO,65,Reforco escolar e acompanhamento pedagogico | Encaminhamento para apoio psicologico ou psicossocial,2025-01-02
500,Carlos Teixeira Souza,202464415,3A,Administração,2024.2,18,5.41,64.0,4.17,5.0,8,1,1,ALTO,90,Reforco escolar e acompanhamento pedagogico | Contato com responsavel e monitoramento de frequencia | Encaminhamento para apoio psicologico ou psicossocial,2026-06-17
501,Marina Ferreira Ferreira,202464558,1A,Eletrotécnica,2024.1,21,7.14,66.7,1.42,20.5,6,0,0,BAIXO,20,Contato com responsavel e monitoramento de frequencia | Orientacao para rotina de estudos,2025-10-04
502,Paulo Monteiro Gomes,202464658,3B,Logística,2024.2,30,3.29,68.5,2.81,39.6,3,1,1,ALTO,90,Reforco escolar e acompanhamento pedagogico | Contato com responsavel e monitoramento de frequencia,2025-09-07
503,Henrique Oliveira Araújo,202464823,1B,Redes de Computadores,2024.2,23,8.56,94.3,3.46,30.9,3,1,0,BAIXO,20,Manter acompanhamento preventivo,2024-02-17
504,Aline Gomes Silva,202464949,4A,Logística,2024.2,18,7.27,100.0,0.17,40.1,5,0,0,BAIXO,20,Orientacao para rotina de estudos,2026-12-12
505,Gabriela Teixeira Monteiro,202464965,4A,Pedagogia,2024.2,29,8.43,71.9,2.73,65.7,3,0,0,BAIXO,20,Contato com responsavel e monitoramento de frequencia,2025-09-30
506,Rafaela Souza Rodrigues,202465025,3A,Agropecuária,2024.2,20,6.75,52.9,2.18,6.8,8,0,1,MEDIO,65,Contato com responsavel e monitoramento de frequencia | Encaminhamento para apoio psicologico ou psicossocial,2026-10-25
507,Gustavo Costa Costa,202465038,1B,Redes de Computadores,2024.2,18,4.71,93.5,3.06,30.4,2,1,0,BAIXO,20,Reforco escolar e acompanhamento pedagogico,2025-10-04
508,Leonardo Santos Ribeiro,202465060,4B,Logística,2024.1,20,7.84,74.3,0.71,56.6,3,1,1,MEDIO,65,Contato com responsavel e monitoramento de frequencia | Orientacao para rotina de estudos,2024-05-12
509,Leonardo Nascimento Costa,202465068,4B,Agropecuária,2024.1,19,8.42,66.1,3.12,27.4,7,1,1,MEDIO,65,Contato com responsavel e monitoramento de frequencia | Encaminhamento para apoio psicologico ou psicossocial,2024-04-24
510,Felipe Nascimento Teixeira,202465343,1A,Agropecuária,2024.1,18,7.79,88.0,3.26,10.1,6,1,0,BAIXO,20,Manter acompanhamento preventivo,2026-04-10
511,Henrique Monteiro Gomes,202465436,5A,Administração,2024.2,34,6.49,89.9,1.88,37.1,7,1,0,BAIXO,20,Encaminhamento para apoio psicologico ou psicossocial | Orientacao para rotina de estudos,2025-06-01
512,Vinicius Ferreira Mendes,202465516,5B,Eletrotécnica,2024.2,19,4.07,85.4,2.57,58.0,8,1,1,MEDIO,65,Reforco escolar e acompanhamento pedagogico | Encaminhamento para apoio psicologico ou psicossocial,2024-05-15
513,Thiago Ribeiro Araújo,202466040,4B,Edificações,2024.2,31,7.57,60.3,4.32,29.5,5,1,0,BAIXO,20,Contato com responsavel e monitoramento de frequencia,2024-03-26
514,Daniel Barbosa Monteiro,202466156,3B,Agropecuária,2024.2,28,9.02,100.0,1.21,61.0,3,1,0,BAIXO,20,Orientacao para rotina de estudos,2025-05-06
515,Camila Rodrigues Barbosa,202466168,1A,Enfermagem,2024.1,24,7.7,55.3,2.19,69.0,4,0,0,BAIXO,20,Contato com responsavel e monitoramento de frequencia,2025-08-31
516,Diego Ribeiro Batista,202466277,2B,Agropecuária,2024.2,21,4.97,88.1,1.84,11.2,4,1,0,BAIXO,20,Reforco escolar e acompanhamento pedagogico | Orientacao para rotina de estudos,2026-01-08
517,Mateus Batista Mendes,202466379,3B,Administração,2024.2,24,5.24,72.8,1.93,34.2,9,1,1,ALTO,90,Reforco escolar e acompanhamento pedagogico | Contato com responsavel e monitoramento de frequencia | Encaminhamento para apoio psicologico ou psicossocial | Orientacao para rotina de estudos,2026-10-21
518,Marcos Ribeiro Ferreira,202466414,1A,Pedagogia,2024.1,33,4.2,84.2,1.26,11.4,4,1,1,MEDIO,65,Reforco escolar e acompanhamento pedagogico | Orientacao para rotina de estudos,2026-07-10
519,Maria Gomes Barbosa,202466418,3A,Redes de Computadores,2024.1,31,7.3,100.0,4.31,14.4,7,0,0,BAIXO,20,Encaminhamento para apoio psicologico ou psicossocial,2025-04-18
520,João Batista Batista,202466421,2B,Agropecuária,2024.1,24,8.12,59.9,1.88,59.4,3,1,0,BAIXO,20,Contato com responsavel e monitoramento de frequencia | Orientacao para rotina de estudos,2024-11-11
521,Bruno Santos Mendes,202466434,3B,Redes de Computadores,2024.2,31,5.23,59.2,2.88,33.3,7,1,1,ALTO,90,Reforco escolar e acompanhamento pedagogico | Contato com responsavel e monitoramento de frequencia | Encaminhamento para apoio psicologico ou psicossocial,2024-04-15
522,Daniel Ribeiro Pereira,202466734,5B,Pedagogia,2024.1,32,4.7,85.5,3.5,58.5,9,1,1,MEDIO,65,Reforco escolar e acompanhamento pedagogico | Encaminhamento para apoio psicologico ou psicossocial,2026-09-13
523,Paulo Mendes Rodrigues,202466850,5B,Edificações,2024.1,16,9.5,95.1,0.0,66.4,7,1,0,BAIXO,20,Encaminhamento para apoio psicologico ou psicossocial | Orientacao para rotina de estudos,2024-08-17
524,Vitória Ferreira Souza,202466973,3A,Edificações,2024.2,17,8.9,69.7,5.2,6.5,6,0,0,BAIXO,20,Contato com responsavel e monitoramento de frequencia,2025-11-15
525,Thiago Santos Mendes,202466982,5B,Agropecuária,2024.1,26,7.98,67.2,1.43,55.1,6,1,0,BAIXO,20,Contato com responsavel e monitoramento de frequencia | Orientacao para rotina de estudos,2024-03-02
526,André Teixeira Gomes,202467147,5A,Pedagogia,2024.2,27,7.13,95.5,1.27,39.9,1,1,0,BAIXO,20,Orientacao para rotina de estudos,2024-01-29
527,Marina Nascimento Teixeira,202467148,5B,Informática,2024.2,19,8.54,86.7,2.24,39.6,6,0,0,BAIXO,20,Manter acompanhamento preventivo,2024-05-19
528,Luana Cardoso Pereira,202467469,4B,Informática,2024.2,33,6.3,78.1,3.23,52.7,7,0,1,MEDIO,65,Encaminhamento para apoio psicologico ou psicossocial,2024-05-21
529,Luana Lima Costa,202467550,4B,Contabilidade,2024.1,30,0.12,75.2,0.86,23.6,5,0,1,ALTO,90,Reforco escolar e acompanhamento pedagogico | Orientacao para rotina de estudos,2024-01-19
530,Paulo Silva Araújo,202467616,1B,Redes de Computadores,2024.2,22,4.38,92.9,0.83,32.3,6,1,1,MEDIO,65,Reforco escolar e acompanhamento pedagogico | Orientacao para rotina de estudos,2024-01-17
531,Daniel Oliveira Rodrigues,202467777,3B,Administração,2024.2,25,7.36,82.9,0.94,45.2,9,1,1,MEDIO,65,Encaminhamento para apoio psicologico ou psicossocial | Orientacao para rotina de estudos,2024-03-21
532,Vinicius Nascimento Ferreira,202467898,2A,Pedagogia,2024.1,25,8.8,85.6,3.27,30.6,4,1,0,BAIXO,20,Manter acompanhamento preventivo,2025-09-04
533,Fernanda Pereira Oliveira,202467968,2B,Redes de Computadores,2024.2,29,7.51,85.7,2.44,9.9,5,0,0,BAIXO,20,Manter acompanhamento preventivo,2026-02-28
534,Gustavo Batista Gomes,202468057,4B,Informática,2024.1,25,9.28,69.6,3.74,16.8,8,1,1,MEDIO,65,Contato com responsavel e monitoramento de frequencia | Encaminhamento para apoio psicologico ou psicossocial,2024-09-21
535,Eduarda Barbosa Lima,202468079,5B,Enfermagem,2024.1,28,6.4,76.8,3.05,36.7,8,0,1,MEDIO,65,Encaminhamento para apoio psicologico ou psicossocial,2025-09-07
536,Camila Batista Silva,202468155,3B,Logística,2024.1,25,4.51,100.0,0.68,23.8,4,0,1,MEDIO,65,Reforco escolar e acompanhamento pedagogico | Orientacao para rotina de estudos,2026-03-29
537,Patrícia Cardoso Batista,202468187,1B,Administração,2024.2,32,7.61,69.1,2.72,38.7,6,0,0,BAIXO,20,Contato com responsavel e monitoramento de frequencia,2025-07-10
538,Juliana Barbosa Gomes,202468328,1B,Edificações,2024.2,30,7.61,89.4,0.14,35.7,3,0,0,BAIXO,20,Orientacao para rotina de estudos,2026-01-11
539,Isabela Costa Almeida,202468365,5A,Logística,2024.2,21,5.29,75.6,1.16,5.4,7,0,1,MEDIO,65,Reforco escolar e acompanhamento pedagogico | Encaminhamento para apoio psicologico ou psicossocial | Orientacao para rotina de estudos,2024-06-08
540,Marcos Ferreira Almeida,202468623,3B,Contabilidade,2024.1,30,9.14,82.0,2.89,24.2,4,1,0,BAIXO,20,Manter acompanhamento preventivo,2026-01-12
541,Juliana Lima Araújo,202468840,2A,Administração,2024.1,34,5.28,91.2,4.81,13.2,5,0,0,BAIXO,20,Reforco escolar e acompanhamento pedagogico,2024-11-01
542,Felipe Pereira Santos,202468887,5B,Pedagogia,2024.1,26,6.53,62.2,3.03,55.4,3,1,1,MEDIO,65,Contato com responsavel e monitoramento de frequencia,2026-01-20
543,Aline Ribeiro Cardoso,202469333,2B,Logística,2024.2,26,8.13,83.1,4.8,61.8,5,0,0,BAIXO,20,Manter acompanhamento preventivo,2026-09-18
544,Carlos Nascimento Pereira,202469344,4B,Contabilidade,2024.2,24,9.26,100.0,2.22,7.2,1,1,0,BAIXO,20,Manter acompanhamento preventivo,2025-10-20
545,Lucas Almeida Ferreira,202469443,5B,Administração,2024.2,28,2.32,97.2,3.53,33.0,7,1,1,MEDIO,65,Reforco escolar e acompanhamento pedagogico | Encaminhamento para apoio psicologico ou psicossocial,2026-10-17
546,Mateus Cardoso Costa,202469474,3B,Edificações,2024.2,27,4.85,84.1,3.63,49.3,5,1,1,MEDIO,65,Reforco escolar e acompanhamento pedagogico,2026-05-05
547,Mateus Araújo Barbosa,202469489,2B,Agropecuária,2024.2,18,6.82,100.0,2.43,61.8,6,1,0,BAIXO,20,Manter acompanhamento preventivo,2024-07-01
548,Vitória Nascimento Gomes,202469777,2B,Enfermagem,2024.2,24,5.16,76.4,3.18,37.0,7,0,1,MEDIO,65,Reforco escolar e acompanhamento pedagogico | Encaminhamento para apoio psicologico ou psicossocial,2024-03-23
549,Luana Rodrigues Nascimento,202469806,5B,Agropecuária,2024.1,16,4.29,100.0,4.48,45.8,5,0,0,BAIXO,20,Reforco escolar e acompanhamento pedagogico,2024-12-24
550,Paulo Gomes Batista,202469829,2B,Pedagogia,2024.1,17,6.25,64.5,5.09,12.3,5,1,1,MEDIO,65,Contato com responsavel e monitoramento de frequencia,2026-08-09
551,Fernanda Ribeiro Costa,202469912,5B,Logística,2024.1,24,9.49,100.0,0.07,37.9,9,0,1,MEDIO,65,Encaminhamento para apoio psicologico ou psicossocial | Orientacao para rotina de estudos,2024-12-01
552,Jéssica Silva Silva,202469920,1A,Eletrotécnica,2024.1,31,6.69,83.0,4.11,49.6,4,0,0,BAIXO,20,Manter acompanhamento preventivo,2024-08-15
553,Rafael Cardoso Rodrigues,202470000,2B,Pedagogia,2024.2,33,5.42,83.6,3.13,21.1,5,1,1,MEDIO,65,Reforco escolar e acompanhamento pedagogico,2025-05-05
554,Aline Almeida Barbosa,202470114,3B,Pedagogia,2024.2,34,6.56,84.7,1.36,27.8,4,0,0,BAIXO,20,Orientacao para rotina de estudos,2024-04-22
555,Natália Santos Mendes,202470117,1A,Edificações,2024.2,26,6.44,82.6,4.23,34.6,4,0,0,BAIXO,20,Manter acompanhamento preventivo,2026-10-19
556,Gustavo Souza Lima,202470330,4B,Contabilidade,2024.1,30,7.65,79.7,3.91,43.4,6,1,0,BAIXO,20,Manter acompanhamento preventivo,2026-09-02
557,Lucas Rodrigues Nascimento,202470357,4A,Administração,2024.2,29,7.69,90.1,0.58,37.9,5,1,0,BAIXO,20,Orientacao para rotina de estudos,2025-06-18
558,Maria Ferreira Costa,202470413,3A,Logística,2024.1,27,8.71,85.4,3.3,5.0,7,0,0,BAIXO,20,Encaminhamento para apoio psicologico ou psicossocial,2024-05-18
559,Marina Mendes Ribeiro,202470423,1B,Edificações,2024.1,18,6.78,100.0,1.93,41.5,4,0,0,BAIXO,20,Orientacao para rotina de estudos,2024-12-10
560,Leonardo Lima Teixeira,202470456,3A,Pedagogia,2024.1,30,4.85,100.0,4.11,34.5,4,1,0,BAIXO,20,Reforco escolar e acompanhamento pedagogico,2025-12-30
561,Diego Costa Ribeiro,202470548,4B,Edificações,2024.2,26,7.99,78.7,3.79,52.0,9,1,1,MEDIO,65,Encaminhamento para apoio psicologico ou psicossocial,2025-03-07
562,Thiago Mendes Mendes,202470933,1B,Informática,2024.1,22,7.51,55.8,1.17,32.9,5,1,0,BAIXO,20,Contato com responsavel e monitoramento de frequencia | Orientacao para rotina de estudos,2025-02-28
563,Jéssica Almeida Souza,202471093,3A,Eletrotécnica,2024.1,27,8.34,94.6,2.96,19.3,4,0,0,BAIXO,20,Manter acompanhamento preventivo,2024-02-28
564,Gabriel Souza Batista,202471161,2A,Pedagogia,2024.2,19,5.42,86.2,2.05,55.4,2,1,0,BAIXO,20,Reforco escolar e acompanhamento pedagogico,2024-12-14
565,Vitória Ribeiro Oliveira,202471537,2A,Eletrotécnica,2024.1,20,5.51,90.0,1.73,5.5,2,0,0,BAIXO,20,Reforco escolar e acompanhamento pedagogico | Orientacao para rotina de estudos,2025-11-24
566,Natália Oliveira Souza,202471735,5A,Pedagogia,2024.1,33,7.3,87.1,4.87,6.8,7,0,0,BAIXO,20,Encaminhamento para apoio psicologico ou psicossocial,2024-02-09
567,Eduarda Ferreira Oliveira,202471740,4B,Informática,2024.2,25,6.45,77.1,4.3,44.8,5,0,0,BAIXO,20,Manter acompanhamento preventivo,2024-04-20
568,Vinicius Teixeira Batista,202471742,1B,Contabilidade,2024.1,32,5.63,81.7,0.0,18.2,4,1,1,MEDIO,65,Reforco escolar e acompanhamento pedagogico | Orientacao para rotina de estudos,2024-11-10
569,Rafael Santos Almeida,202471824,3A,Informática,2024.1,23,10.0,81.2,1.81,10.8,2,1,0,BAIXO,20,Orientacao para rotina de estudos,2025-04-21
570,Rafael Ferreira Almeida,202471827,1B,Enfermagem,2024.1,23,5.79,83.1,4.25,5.0,5,1,1,MEDIO,65,Reforco escolar e acompanhamento pedagogico,2024-06-19
